,Date,ID,Symbol,market_cap,simp_move_avg_market_cap,simp_move_std_market_cap
30,2021-01-31,bitcoin,btc,636624676861.2642,609326712077.0802,23957961534.461365
30,2021-01-31,bitcoin_cash,bch,0.0,0.0,0.0
30,2021-01-31,cardano,ada,11492910452.930857,10732296047.137314,546929108.5583068
30,2021-01-31,ethereum,eth,157410718624.21973,153710072280.98245,5837168997.825191
30,2021-01-31,litecoin,ltc,8828348697.121115,8894212081.36008,381673455.1699995
30,2021-01-31,ripple,xrp,19215011544.534508,13215522487.631361,2680805425.654293
30,2021-01-31,solana,sol,1099976702.0181136,1006133474.1368438,54549103.82338195
31,2021-02-01,bitcoin,btc,615013848827.3505,611386489210.6732,23700606959.70263
31,2021-02-01,bitcoin_cash,bch,0.0,0.0,0.0
31,2021-02-01,cardano,ada,11024882710.653038,10749101334.487228,554949149.300944
31,2021-02-01,ethereum,eth,150322722005.1637,152589432151.84265,5586479807.182794
31,2021-02-01,litecoin,ltc,8611596821.687353,8780884663.054829,317076951.0693592
31,2021-02-01,ripple,xrp,22460670801.01922,14644726117.397694,4353508372.633247
31,2021-02-01,solana,sol,1108554251.4633815,1029294950.7198156,59193516.827750236
32,2021-02-02,bitcoin,btc,621908231690.1377,614156543630.403,23624332540.222305
32,2021-02-02,bitcoin_cash,bch,0.0,0.0,0.0
32,2021-02-02,cardano,ada,12802876639.677765,11046849218.915874,952566702.0086528
32,2021-02-02,ethereum,eth,155894407853.50046,153154297767.81528,5708481738.068837
32,2021-02-02,litecoin,ltc,8770352764.869314,8731709923.823996,281383701.69023657
32,2021-02-02,ripple,xrp,16887446178.179226,15308711138.34869,4279349721.326668
32,2021-02-02,solana,sol,1181003688.1507916,1059384509.9126791,75531177.93458007
33,2021-02-03,bitcoin,btc,660664104637.4851,621883765748.6398,28971641973.139435
33,2021-02-03,bitcoin_cash,bch,0.0,0.0,0.0
33,2021-02-03,cardano,ada,13649744225.9608,11467204759.532318,1345805022.4744077
33,2021-02-03,ethereum,eth,174557101587.54166,155884370314.76108,9968056482.05757
33,2021-02-03,litecoin,ltc,9450818939.918022,8802546645.24619,388847050.9920792
33,2021-02-03,ripple,xrp,17039497521.900587,15997469516.393103,4082494767.2982774
33,2021-02-03,solana,sol,1375270992.6864705,1105179898.38061,141015120.83852458
34,2021-02-04,bitcoin,btc,695794870715.5251,640331398174.7994,29061075987.66569
34,2021-02-04,bitcoin_cash,bch,0.0,0.0,0.0
34,2021-02-04,cardano,ada,14046780963.90513,12094814394.47574,1382909219.3188634
34,2021-02-04,ethereum,eth,189023794263.7008,162634321245.1946,14002159320.90968
34,2021-02-04,litecoin,ltc,10304402991.747871,9110312877.766651,587931193.6523969
34,2021-02-04,ripple,xrp,17945935420.571823,16931516175.881552,3573587763.8906784
34,2021-02-04,solana,sol,1486424501.2461636,1179638234.3310428,185409850.29682198
35,2021-02-05,bitcoin,btc,686453802173.3838,650306886138.3915,31453684103.942154
35,2021-02-05,bitcoin_cash,bch,0.0,0.0,0.0
35,2021-02-05,cardano,ada,14124867498.632463,12573261616.427887,1429067034.338698
35,2021-02-05,ethereum,eth,183982328605.4526,167077883978.40625,15268080790.692776
35,2021-02-05,litecoin,ltc,9652677574.523088,9222619330.656452,608333776.3012656
35,2021-02-05,ripple,xrp,20405940224.787094,18115407833.447544,3047413944.707174
35,2021-02-05,solana,sol,1677733734.3813236,1277256686.5083575,242673634.24098146
36,2021-02-06,bitcoin,btc,706320162928.6615,660397099690.544,36849046737.25921
36,2021-02-06,bitcoin_cash,bch,0.0,0.0,0.0
36,2021-02-06,cardano,ada,17202094510.163548,13477736714.560514,2043464433.9561963
36,2021-02-06,ethereum,eth,196424150368.4788,172516460472.57965,18150932714.65361
36,2021-02-06,litecoin,ltc,10246105819.517834,9409186229.912085,700535279.5363166
36,2021-02-06,ripple,xrp,20535328839.092148,19212832932.86923,2059805640.922856
36,2021-02-06,solana,sol,1732564478.94795,1380218335.5563138,263309281.58982342
37,2021-02-07,bitcoin,btc,732453192636.7231,674086887658.4667,43707729777.68704
37,2021-02-07,bitcoin_cash,bch,0.0,0.0,0.0
37,2021-02-07,cardano,ada,19854979470.03364,14672318002.718054,2938111639.9350333
37,2021-02-07,ethereum,eth,192164042318.95844,177481221000.39948,18083326834.41654
37,2021-02-07,litecoin,ltc,10297390883.071535,9619049399.333574,717371996.0717874
37,2021-02-07,ripple,xrp,20205229008.6856,19354292570.6051,2093703460.8341794
37,2021-02-07,solana,sol,1614662623.626382,1453744895.786066,243096802.47934166
38,2021-02-08,bitcoin,btc,723434796637.7434,689575594488.5228,38141154026.694695
38,2021-02-08,bitcoin_cash,bch,0.0,0.0,0.0
38,2021-02-08,cardano,ada,20910050886.32516,16084484884.95693,3251692386.197189
38,2021-02-08,ethereum,eth,184109385158.1494,182307887165.11176,13572716535.822819
38,2021-02-08,litecoin,ltc,10051143409.97115,9824698911.945545,572048652.9495232
38,2021-02-08,ripple,xrp,19158415883.033077,18882541868.035652,1588107153.1949666
38,2021-02-08,solana,sol,1741080410.398057,1544105775.633877,208496934.04437017
39,2021-02-09,bitcoin,btc,862413737410.9171,723933523877.2057,65522726668.63771
39,2021-02-09,bitcoin_cash,bch,0.0,0.0,0.0
39,2021-02-09,cardano,ada,21857345265.124405,17377980402.877876,3518666176.1707554
39,2021-02-09,ethereum,eth,198719063426.16904,188425695104.0644,8316385473.389075
39,2021-02-09,litecoin,ltc,11147204342.01247,10164249137.251709,546771173.0715022
39,2021-02-09,ripple,xrp,20468514863.339752,19394123108.77287,1404481039.9340115
39,2021-02-09,solana,sol,2067531944.1291592,1670752669.345072,220106643.53127745
40,2021-02-10,bitcoin,btc,867164581003.3563,753433591929.4729,77652757484.28853
40,2021-02-10,bitcoin_cash,bch,0.0,0.0,0.0
40,2021-02-10,cardano,ada,22537176367.01823,18647613565.88608,3552460400.464871
40,2021-02-10,ethereum,eth,203102939465.473,192503671943.7689,7321747904.175434
40,2021-02-10,litecoin,ltc,11983254027.726034,10526025578.36714,782876436.1731265
40,2021-02-10,ripple,xrp,21583065336.769066,20043204225.18265,1164292653.831625
40,2021-02-10,solana,sol,2066515667.7340856,1769501908.6375887,220507237.5934474
41,2021-02-11,bitcoin,btc,839561451461.0575,773971674893.1202,78869935665.24983
41,2021-02-11,bitcoin_cash,bch,0.0,0.0,0.0
41,2021-02-11,cardano,ada,29471024411.44145,20851076915.534126,4790818579.129004
41,2021-02-11,ethereum,eth,199919369275.37125,194060182659.72177,7611087233.080325
41,2021-02-11,litecoin,ltc,12077826948.37514,10779371857.88532,964974407.7374767
41,2021-02-11,ripple,xrp,22982765730.23764,20762751412.27777,1207732905.3927002
41,2021-02-11,solana,sol,2347978417.7784863,1892581039.5707774,270863925.474294
42,2021-02-12,bitcoin,btc,890629045243.5952,803139566760.2936,78863809941.48291
42,2021-02-12,bitcoin_cash,bch,0.0,0.0,0.0
42,2021-02-12,cardano,ada,29490259208.42937,23046132874.07654,4714823059.4352865
42,2021-02-12,ethereum,eth,203774834938.25632,196887683564.40802,6885006538.474599
42,2021-02-12,litecoin,ltc,12277450046.61745,11154339353.898802,964161771.9948268
42,2021-02-12,ripple,xrp,23856145163.797523,21255637832.136402,1657956781.848538
42,2021-02-12,solana,sol,2396719732.172312,1995293324.96949,309394936.0090033
43,2021-02-13,bitcoin,btc,880620921496.0787,828039675127.0674,70245116921.10521
43,2021-02-13,bitcoin_cash,bch,0.0,0.0,0.0
43,2021-02-13,cardano,ada,29484763500.13651,24800799872.644108,4455867384.68902
43,2021-02-13,ethereum,eth,210344318124.7324,198876278958.15854,8540144996.769646
43,2021-02-13,litecoin,ltc,13187361623.030052,11574518754.400547,1129165165.7326765
43,2021-02-13,ripple,xrp,27960966907.84191,22316443270.52923,2973728295.8165574
43,2021-02-13,solana,sol,2426763287.306892,2094464583.3064818,322140412.2104532
44,2021-02-14,bitcoin,btc,874425017687.0778,848321364419.9752,57360925482.2374
44,2021-02-14,bitcoin_cash,bch,0.0,0.0,0.0
44,2021-02-14,cardano,ada,28898521927.17186,26092734509.378143,4077888459.765787
44,2021-02-14,ethereum,eth,207890872554.91016,201122968991.86594,8548683365.058379
44,2021-02-14,litecoin,ltc,15007054170.841364,12247327795.510523,1561656362.8524096
44,2021-02-14,ripple,xrp,28721338583.23619,23533030352.60788,3634630409.303437
44,2021-02-14,solana,sol,2299907027.7197843,2192356641.034111,247508708.18529725
45,2021-02-15,bitcoin,btc,905515462576.995,874332888125.5824,21134368243.179943
45,2021-02-15,bitcoin_cash,bch,0.0,0.0,0.0
45,2021-02-15,cardano,ada,27180580246.00645,26988524417.90404,3378391324.0443044
45,2021-02-15,ethereum,eth,207057026271.03052,204401203436.56323,4262299400.1842775
45,2021-02-15,litecoin,ltc,14296149144.143295,12853757186.106543,1380384632.1889372
45,2021-02-15,ripple,xrp,27087614068.25724,24665772950.497044,3260350245.9101257
45,2021-02-15,solana,sol,2299584697.079879,2272142967.7029424,147676435.70119745
46,2021-02-16,bitcoin,btc,892345220938.2782,878608814343.777,21347764483.517185
46,2021-02-16,bitcoin_cash,bch,0.0,0.0,0.0
46,2021-02-16,cardano,ada,27363016264.865456,27775048846.438473,2515355095.5089607
46,2021-02-16,ethereum,eth,203972439068.60132,205151685671.19644,3487065044.6777263
46,2021-02-16,litecoin,ltc,13794079373.608768,13231882190.6203,1183483838.085254
46,2021-02-16,ripple,xrp,25026313241.817905,25316887004.56535,2687150585.895121
46,2021-02-16,solana,sol,2319301370.904806,2308110028.6708922,117013400.70720713
47,2021-02-17,bitcoin,btc,917339726314.6964,885776692245.3969,24979411658.14928
47,2021-02-17,bitcoin_cash,bch,0.0,0.0,0.0
47,2021-02-17,cardano,ada,27928267753.64383,28545204758.81356,1032654714.5029156
47,2021-02-17,ethereum,eth,204528599567.24704,205355351400.02127,3387679956.564774
47,2021-02-17,litecoin,ltc,13994235891.816252,13519165314.061758,1068347142.046107
47,2021-02-17,ripple,xrp,23858413182.24458,25641936696.776142,2264611451.379118
47,2021-02-17,solana,sol,2184260799.960396,2324930761.8460793,78679786.08920428
48,2021-02-18,bitcoin,btc,971516568847.578,904627423300.6141,32842689624.211067
48,2021-02-18,bitcoin_cash,bch,0.0,0.0,0.0
48,2021-02-18,cardano,ada,28374309990.04283,28388531270.04233,948550778.3390317
48,2021-02-18,ethereum,eth,211713928319.0353,207040288406.259,3158764597.6247425
48,2021-02-18,litecoin,ltc,15732859207.897224,14041312779.707773,1137446865.8321936
48,2021-02-18,ripple,xrp,24600084027.40609,25872982167.800205,2017068121.5538106
48,2021-02-18,solana,sol,2173930631.1428275,2300066792.3266997,95816994.49197696
49,2021-02-19,bitcoin,btc,963911356673.4604,915096324933.452,38779931297.54996
49,2021-02-19,bitcoin_cash,bch,0.0,0.0,0.0
49,2021-02-19,cardano,ada,29081988032.46847,28330206816.33363,879560222.7206643
49,2021-02-19,ethereum,eth,221863277318.4042,209624351603.423,6085267706.910061
49,2021-02-19,litecoin,ltc,15121894587.44878,14447661999.826534,881600789.9220383
