,Date,ID,simp_move_avg_market_cap_ror,Symbol,market_cap
86,2022-02-09,cardano,-0.012149685425269527,ada,37856316807.10156
85,2022-02-09,solana,-0.005489331597840628,sol,36125330680.249535
96,2022-02-10,ripple,-0.05543041210129612,xrp,42196654317.52713
95,2022-02-10,litecoin,-0.037085439724134216,ltc,9800440089.749737
94,2022-02-10,ethereum,-0.026364950076562067,eth,387321193246.79065
93,2022-02-10,bitcoin,-0.02552006147423805,btc,841339973338.8694
92,2022-02-10,cardano,-0.02087516245410191,ada,38383301474.95149
91,2022-02-10,solana,-0.017475489711771586,sol,36294064610.28194
101,2022-02-11,ripple,-0.0429037860826156,xrp,40079653442.91532
100,2022-02-11,litecoin,-0.027957635248185488,ltc,9427380616.486755
99,2022-02-11,bitcoin,-0.02195365202790406,btc,826942197610.3904
98,2022-02-11,ethereum,-0.01985118550312627,eth,368377710139.7799
97,2022-02-11,cardano,-0.012004919196570063,ada,36992223259.8953
104,2022-02-12,ripple,-0.020217805624592754,xrp,36423431829.04126
103,2022-02-12,litecoin,-0.0068553045865163715,ltc,8792354216.764763
102,2022-02-12,bitcoin,-0.004606263556169793,btc,803706779791.898
107,2022-02-13,ripple,-0.025953104166526936,xrp,39120421789.46051
106,2022-02-13,litecoin,-0.004746349347202833,ltc,8821069003.28906
105,2022-02-13,bitcoin,-0.0023085210315297224,btc,799547462142.6093
109,2022-02-16,ethereum,-0.003064694147923831,eth,381791121976.2447
108,2022-02-16,bitcoin,-0.001906538783076181,btc,848321283143.9929
112,2022-03-01,solana,-0.025737696380960816,sol,31846087892.82589
111,2022-03-01,ethereum,-0.01788119604270375,eth,349056335389.1799
110,2022-03-01,ripple,-0.01438753668317939,xrp,37500615316.86525
