,Date,ID,Symbol,market_cap,momentum_market_cap
0,2021-03-01,bitcoin_cash,bch,0.0,0.0
0,2021-03-01,cardano,ada,42022774483.531845,559752501.7390428
0,2021-03-01,ethereum,eth,163289758568.53607,-772123695.9399705
0,2021-03-01,litecoin,ltc,11051377799.74987,-6757365.852471983
0,2021-03-01,ripple,xrp,18911825797.22397,-102957643.67669757
0,2021-03-01,solana,sol,3482110143.44744,69274647.0358062
1,2021-03-02,bitcoin,btc,928146793676.4288,3118309.475618166
1,2021-03-02,bitcoin_cash,bch,0.0,0.0
1,2021-03-02,cardano,ada,41594037335.68449,551069235.270912
1,2021-03-02,ethereum,eth,179885012253.05722,-990996516.8148386
1,2021-03-02,litecoin,ltc,11736789430.309126,-25610158.883996636
1,2021-03-02,ripple,xrp,20552651911.17629,-202301432.4736489
1,2021-03-02,solana,sol,3973508157.319812,71649228.99359584
2,2021-03-03,bitcoin,btc,905413239164.9064,-5801239.480199408
